Files already downloaded and verified
Files already downloaded and verified
Epoch [165/300], Train Accuracy: 99.89%, Test Accuracy: 93.60%
Epoch [166/300], Train Accuracy: 99.92%, Test Accuracy: 93.64%
Epoch [167/300], Train Accuracy: 99.92%, Test Accuracy: 93.74%
Epoch [168/300], Train Accuracy: 99.91%, Test Accuracy: 93.71%
Epoch [169/300], Train Accuracy: 99.93%, Test Accuracy: 93.63%
Epoch [170/300], Train Accuracy: 99.92%, Test Accuracy: 93.68%
Epoch [171/300], Train Accuracy: 99.94%, Test Accuracy: 93.56%
Epoch [172/300], Train Accuracy: 99.94%, Test Accuracy: 93.71%
Epoch [173/300], Train Accuracy: 99.95%, Test Accuracy: 93.65%
Epoch [174/300], Train Accuracy: 99.92%, Test Accuracy: 93.54%
Epoch [175/300], Train Accuracy: 99.92%, Test Accuracy: 93.56%
Epoch [176/300], Train Accuracy: 99.92%, Test Accuracy: 93.67%
Epoch [177/300], Train Accuracy: 99.92%, Test Accuracy: 93.75%
Epoch [178/300], Train Accuracy: 99.93%, Test Accuracy: 93.63%
Epoch [179/300], Train Accuracy: 99.93%, Test Accuracy: 93.70%
Epoch [180/300], Train Accuracy: 99.93%, Test Accuracy: 93.68%
Epoch [181/300], Train Accuracy: 99.92%, Test Accuracy: 93.68%
Epoch [182/300], Train Accuracy: 99.95%, Test Accuracy: 93.51%
Epoch [183/300], Train Accuracy: 99.95%, Test Accuracy: 93.60%
Epoch [184/300], Train Accuracy: 99.94%, Test Accuracy: 93.49%
Epoch [185/300], Train Accuracy: 99.94%, Test Accuracy: 93.54%
Epoch [186/300], Train Accuracy: 99.92%, Test Accuracy: 93.41%
Epoch [187/300], Train Accuracy: 99.92%, Test Accuracy: 93.46%
Epoch [188/300], Train Accuracy: 99.95%, Test Accuracy: 93.54%
Epoch [189/300], Train Accuracy: 99.90%, Test Accuracy: 93.51%
Epoch [190/300], Train Accuracy: 99.94%, Test Accuracy: 93.60%
Epoch [191/300], Train Accuracy: 99.96%, Test Accuracy: 93.70%
Epoch [192/300], Train Accuracy: 99.96%, Test Accuracy: 93.75%
Epoch [193/300], Train Accuracy: 99.94%, Test Accuracy: 93.70%
Epoch [194/300], Train Accuracy: 99.96%, Test Accuracy: 93.63%
Epoch [195/300], Train Accuracy: 99.95%, Test Accuracy: 93.78%
Epoch [196/300], Train Accuracy: 99.96%, Test Accuracy: 93.69%
Epoch [197/300], Train Accuracy: 99.95%, Test Accuracy: 93.57%
Epoch [198/300], Train Accuracy: 99.95%, Test Accuracy: 93.72%
Epoch [199/300], Train Accuracy: 99.95%, Test Accuracy: 93.71%
Epoch [200/300], Train Accuracy: 99.96%, Test Accuracy: 93.73%
Epoch [201/300], Train Accuracy: 99.95%, Test Accuracy: 93.63%
Epoch [202/300], Train Accuracy: 99.95%, Test Accuracy: 93.66%
Epoch [203/300], Train Accuracy: 99.95%, Test Accuracy: 93.63%
Epoch [204/300], Train Accuracy: 99.95%, Test Accuracy: 93.80%
Epoch [205/300], Train Accuracy: 99.97%, Test Accuracy: 93.81%
Epoch [206/300], Train Accuracy: 99.93%, Test Accuracy: 93.79%
Epoch [207/300], Train Accuracy: 99.96%, Test Accuracy: 93.76%
Epoch [208/300], Train Accuracy: 99.97%, Test Accuracy: 93.66%
Epoch [209/300], Train Accuracy: 99.95%, Test Accuracy: 93.62%
Epoch [210/300], Train Accuracy: 99.95%, Test Accuracy: 93.56%
Epoch [211/300], Train Accuracy: 99.96%, Test Accuracy: 93.74%
Epoch [212/300], Train Accuracy: 99.95%, Test Accuracy: 93.59%
Epoch [213/300], Train Accuracy: 99.96%, Test Accuracy: 93.62%
Epoch [214/300], Train Accuracy: 99.95%, Test Accuracy: 93.60%
Epoch [215/300], Train Accuracy: 99.94%, Test Accuracy: 93.74%
Epoch [216/300], Train Accuracy: 99.96%, Test Accuracy: 93.69%
Epoch [217/300], Train Accuracy: 99.95%, Test Accuracy: 93.63%
Epoch [218/300], Train Accuracy: 99.97%, Test Accuracy: 93.78%
Epoch [219/300], Train Accuracy: 99.96%, Test Accuracy: 93.74%
Epoch [220/300], Train Accuracy: 99.95%, Test Accuracy: 93.55%
Epoch [221/300], Train Accuracy: 99.98%, Test Accuracy: 93.56%
